miasto,x,y,wielkosc
Warszawa,52.243456,21.030482,1777972
Gdynia,54.519157,18.531406,244458
Gdańsk,54.368424,18.616863,582378
Szczecin,53.432659,14.598960,407811
Olsztyn,53.779056,20.485333,606469
Bydgoszcz,53.123128,18.007378,354006
Toruń,53.017924,18.613900,199469
Poznań,52.405592,16.924903,535946
Łódź,51.760265,19.467205,728892
Brześć,52.099255,23.712659,343985
Praga,50.076270,14.447845,1309000
Radom,51.405697,21.156702,213715
Lublin,51.245552,22.568017,342039
Wrocław,51.126053,16.997704,642869
Częstochowa,50.811989,19.120216,510139
Kielce,50.867270,20.624043,195942
Bytom,50.365356,18.871779,168398
Gliwice,50.297618,18.665902,181310
Zabrze,50.325744,18.789367,173682
Sosnowiec,50.276242,19.192825,204552
Katowice,50.243616,19.022423,302397
Kraków,50.063307,19.947981,779115
Rzeszów,50.037702,21.998872,183901
Bielsko-Biała,49.826798,19.040090,170663
Ostrawa,49.822477,18.261044,293531
Królewiec,54.710224,20.496423,453461
Grodno,53.674341,23.823884,370919
Lwów,49.839797,24.029426,724713
Brno,49.197623,16.611308,379526
